r,HOCOM_BC11A_HUMAN.H11MO.0.A,HOCOM_COE1_HUMAN.H11MO.0.A,HOCOM_ERG_HUMAN.H11MO.0.A,HOCOM_ETV5_HUMAN.H11MO.0.C,HOCOM_FLI1_HUMAN.H11MO.0.A,HOCOM_GATA1_HUMAN.H11MO.0.A,HOCOM_GATA2_HUMAN.H11MO.0.A,HOCOM_GATA3_HUMAN.H11MO.0.A,HOCOM_IRF1_HUMAN.H11MO.0.A,HOCOM_IRF3_HUMAN.H11MO.0.B,HOCOM_IRF4_HUMAN.H11MO.0.A,HOCOM_IRF8_HUMAN.H11MO.0.B,HOCOM_KLF15_HUMAN.H11MO.0.A,HOCOM_MAZ_HUMAN.H11MO.0.A,HOCOM_PRDM6_HUMAN.H11MO.0.C,HOCOM_SPI1_HUMAN.H11MO.0.A,HOCOM_STAT1_HUMAN.H11MO.1.A,HOCOM_TAL1_HUMAN.H11MO.0.A,HOCOM_ZBT17_HUMAN.H11MO.0.A,HOCOM_ZN341_HUMAN.H11MO.0.C,HOCOM_ZN467_HUMAN.H11MO.0.C,HOCOM_ZN770_HUMAN.H11MO.0.C,JASPA_MA0050.2_IRF1,JASPA_MA0528.1_ZNF263,Tissue
chr10:100019555-100020187,,,,,,,,,,,4.034798298974088,,,,,4.282329496997739,,,,,,,,,Mono
chr10:100036057-100036549,,,,,,,,,,,,,,,,,,,,,,,,,NKcell
chr10:100074279-100074772,,,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:100082717-100083691,,,,,,,,,,,,,,,,,,,,,,,,,Mono
chr10:100099414-100100464,,,,,,,,4.326979092871103,,,,,,,,,,,,,,,,,Bcell
chr10:100150704-100151639,,,,,,,,,,,,,,,,,,,,,,,,,NKcell
chr10:100164283-100164504,,,,,,,,,,,,,,,,,,,,,,,,,Ery
chr10:100176558-100176937,6.636388020107857,,,,,4.016373712875464,,4.1284270644541206,,,4.91721462968355,4.9546770212133415,,,,6.307153080722769,,4.493494967595128,,,,,,,Ery
chr10:100220413-100221298,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:100222782-100223101,,,,,,,,,,,4.074687908500351,,,,,,,4.062983892535186,,,,,,,Ery
chr10:100231920-100232237,,,,,,,,,,,,,,,,,,,,,,4.373659632624958,,,HSC
chr10:100378870-100379663,,4.459670525209126,,,,,,,,,,,,,,,,,,,,,,,CMP
chr10:100382923-100383321,4.226213555018807,,,,,,,,,,,4.052076380168272,,,,,4.1067932469401525,,,,,,,,CMP
chr10:100411395-100411713,,,,,,,,,,,,4.412289034981089,4.351639989019069,,,4.539102157243452,,,,,,,,,Bcell
chr10:10049889-10050318,,,4.7011469235902945,4.007888512213049,,,,,,,,4.173925197299173,,,,,,,,,,,,,CLP
chr10:100537954-100538539,,,,,,,,,,,,,,,,,,,,,,,,,MEP
chr10:100661249-100661843,,,,,,6.7281583934635005,6.7569619513137065,5.189767482004916,,,,,,,,,,5.847711655616942,,,,,,,Ery
chr10:100669738-100670441,,,4.0343280287798935,,,,,,,,,,,,,,,4.450996737974212,,,,,,,MEP
chr10:100712942-100713452,,,,,4.146910470148135,,,,,,,,,,,5.052566278112949,,,,,,,,,Ery
chr10:10086972-10087473,4.430626090384954,,,,,,,,,,,,,,,,4.782516055786093,,,,,,,,CLP
chr10:101134090-101134688,,,,,,,,,,,4.192464971931146,,,,,,,,4.30715308072277,,,,,,HSC
chr10:101151658-101152037,,,,,,,,,,,4.407823242604133,4.548213564475709,,,,,,,,,,7.4881166390211265,,,MEP
chr10:101248732-101249531,,,,,,,,,,,,,,,,,,,4.029188389127482,,,,,,HSC
chr10:101279720-101280928,,,,,,,,,,,,,,,,,,,,,,,,,HSC
chr10:101287673-101288124,,,,,,,,,,,,,,,,,,,,,,4.617982957425132,,,MEP
chr10:101336636-101336971,,,,,,,,,,,,,,,,,,,,,,,,,CLP
chr10:101369807-101370471,,,,,,,,,,,5.950781977329817,5.035269078946371,,,,,,,,,,,,,HSC
chr10:101375155-101375568,,,,,,4.157390760389438,4.06198090252379,,,,,,,,,,,,,,,,4.142667503568732,,MEP
